Epoch: 1, Loss: 1122.69091796875, Eval Loss: 329.1269836425781
Epoch: 2, Loss: 208.02328491210938, Eval Loss: 137.2848358154297
Epoch: 3, Loss: 98.8090591430664, Eval Loss: 78.12794494628906
Epoch: 4, Loss: 64.9170150756836, Eval Loss: 54.151519775390625
Epoch: 5, Loss: 50.985198974609375, Eval Loss: 51.21430969238281
Epoch: 6, Loss: 38.02119064331055, Eval Loss: 41.28950119018555
Epoch: 7, Loss: 28.352357864379883, Eval Loss: 32.355247497558594
Epoch: 8, Loss: 22.504127502441406, Eval Loss: 25.988595962524414
Epoch: 9, Loss: 18.883779525756836, Eval Loss: 20.45275115966797
Epoch: 10, Loss: 17.074861526489258, Eval Loss: 23.024335861206055
Epoch: 11, Loss: 13.756989479064941, Eval Loss: 17.894489288330078
Epoch: 12, Loss: 11.662288665771484, Eval Loss: 17.941638946533203
Epoch: 13, Loss: 10.58841609954834, Eval Loss: 15.782522201538086
Epoch: 14, Loss: 11.69373893737793, Eval Loss: 15.061136245727539
Epoch: 15, Loss: 9.575271606445312, Eval Loss: 14.914933204650879
Epoch: 16, Loss: 9.178810119628906, Eval Loss: 15.867362022399902
Epoch: 17, Loss: 8.76229476928711, Eval Loss: 14.908289909362793
Epoch: 18, Loss: 8.322948455810547, Eval Loss: 13.923916816711426
Epoch: 19, Loss: 6.615169525146484, Eval Loss: 14.643888473510742
Epoch: 20, Loss: 6.387165546417236, Eval Loss: 12.530326843261719
Epoch: 21, Loss: 6.85791540145874, Eval Loss: 13.959456443786621
Epoch: 22, Loss: 6.686126708984375, Eval Loss: 13.144514083862305
Epoch: 23, Loss: 5.841815948486328, Eval Loss: 12.347671508789062
Epoch: 24, Loss: 4.953467845916748, Eval Loss: 12.228878021240234
Epoch: 25, Loss: 4.896969795227051, Eval Loss: 12.755558967590332
Epoch: 26, Loss: 4.517399311065674, Eval Loss: 12.489279747009277
Epoch: 27, Loss: 4.325473308563232, Eval Loss: 11.817427635192871
Epoch: 28, Loss: 4.002382278442383, Eval Loss: 13.993414878845215
Epoch: 29, Loss: 4.945810794830322, Eval Loss: 11.083145141601562
Epoch: 30, Loss: 4.60730504989624, Eval Loss: 11.687117576599121
Epoch: 31, Loss: 4.433892250061035, Eval Loss: 11.835902214050293
Epoch: 32, Loss: 4.443238258361816, Eval Loss: 13.76795482635498
Epoch: 33, Loss: 4.576467514038086, Eval Loss: 11.411508560180664
Epoch: 34, Loss: 3.96755051612854, Eval Loss: 11.3897705078125
Epoch: 35, Loss: 3.430877685546875, Eval Loss: 10.666078567504883
Epoch: 36, Loss: 2.9363150596618652, Eval Loss: 10.155374526977539
Epoch: 37, Loss: 3.959984540939331, Eval Loss: 12.020602226257324
Epoch: 38, Loss: 3.4996745586395264, Eval Loss: 10.715535163879395
Epoch: 39, Loss: 3.0837345123291016, Eval Loss: 9.981827735900879
Epoch: 40, Loss: 2.9510843753814697, Eval Loss: 11.828168869018555
Epoch: 41, Loss: 3.633918046951294, Eval Loss: 11.511870384216309
Epoch: 42, Loss: 3.433495044708252, Eval Loss: 10.61951732635498
