Epoch: 1, Loss: 390.11370849609375
Epoch: 2, Loss: 88.38392639160156
Epoch: 3, Loss: 59.135276794433594
Epoch: 4, Loss: 44.69056701660156
Epoch: 5, Loss: 32.235626220703125
Epoch: 6, Loss: 27.694120407104492
Epoch: 7, Loss: 22.86288070678711
Epoch: 8, Loss: 22.215763092041016
Epoch: 9, Loss: 20.298818588256836
Epoch: 10, Loss: 18.296480178833008
Epoch: 11, Loss: 16.331584930419922
Epoch: 12, Loss: 13.629703521728516
Epoch: 13, Loss: 14.224555015563965
Epoch: 14, Loss: 13.545600891113281
Epoch: 15, Loss: 11.641618728637695
Epoch: 16, Loss: 11.693860054016113
Epoch: 17, Loss: 11.18336009979248
Epoch: 18, Loss: 10.152678489685059
Epoch: 19, Loss: 10.522608757019043
Epoch: 20, Loss: 9.151171684265137
Epoch: 21, Loss: 9.503692626953125
Epoch: 22, Loss: 9.186893463134766
Epoch: 23, Loss: 8.679396629333496
Epoch: 24, Loss: 9.554614067077637
Epoch: 25, Loss: 8.839015007019043
Epoch: 26, Loss: 7.550158500671387
Epoch: 27, Loss: 7.342731475830078
Epoch: 28, Loss: 7.051518440246582
Epoch: 29, Loss: 9.4380521774292
Epoch: 30, Loss: 9.129926681518555
Epoch: 31, Loss: 6.902374267578125
Epoch: 32, Loss: 6.542390823364258
Epoch: 33, Loss: 6.202875137329102
Epoch: 34, Loss: 5.33455228805542
Epoch: 35, Loss: 5.370477199554443
Epoch: 36, Loss: 5.313915729522705
Epoch: 37, Loss: 5.431832790374756
Epoch: 38, Loss: 5.012575626373291
Epoch: 39, Loss: 4.949214458465576
Epoch: 40, Loss: 4.863084316253662
Epoch: 41, Loss: 4.781399726867676
Epoch: 42, Loss: 4.48749303817749
Epoch: 43, Loss: 4.45334529876709
Epoch: 44, Loss: 4.059998035430908
Epoch: 45, Loss: 4.019731521606445
Epoch: 46, Loss: 3.6760103702545166
Epoch: 47, Loss: 3.414848804473877
Epoch: 48, Loss: 3.497422218322754
Epoch: 49, Loss: 3.61698317527771
Epoch: 50, Loss: 3.7316067218780518
Epoch: 51, Loss: 6.294717788696289
Epoch: 52, Loss: 3.5326199531555176
Epoch: 53, Loss: 3.1094810962677
Epoch: 54, Loss: 3.2027852535247803
Epoch: 55, Loss: 3.005953788757324
Epoch: 56, Loss: 2.901862382888794
Epoch: 57, Loss: 2.79188871383667
Epoch: 58, Loss: 2.5325543880462646
Epoch: 59, Loss: 2.762970209121704
Epoch: 60, Loss: 2.206505537033081
Epoch: 61, Loss: 2.421905040740967
Epoch: 62, Loss: 2.347320556640625
Epoch: 63, Loss: 2.3701984882354736
Epoch: 64, Loss: 2.2192397117614746
Epoch: 65, Loss: 2.2759084701538086
Epoch: 66, Loss: 2.55063796043396
Epoch: 67, Loss: 2.0959668159484863
Epoch: 68, Loss: 2.0982413291931152
Epoch: 69, Loss: 1.987172245979309
Epoch: 70, Loss: 1.9957215785980225
Epoch: 71, Loss: 1.9658732414245605
Epoch: 72, Loss: 1.719369649887085
Epoch: 73, Loss: 1.9585051536560059
Epoch: 74, Loss: 1.870596170425415
Epoch: 75, Loss: 1.802701711654663
Epoch: 76, Loss: 1.744006633758545
Epoch: 77, Loss: 1.6415992975234985
Epoch: 78, Loss: 1.6258699893951416
Epoch: 79, Loss: 1.6045327186584473
Epoch: 80, Loss: 1.6667377948760986
Epoch: 81, Loss: 1.5374356508255005
Epoch: 82, Loss: 1.4696824550628662
Epoch: 83, Loss: 1.4776402711868286
Epoch: 84, Loss: 1.7183969020843506
Epoch: 85, Loss: 1.3763729333877563
Epoch: 86, Loss: 1.6009299755096436
Epoch: 87, Loss: 1.2549241781234741
Epoch: 88, Loss: 1.3934707641601562
Epoch: 89, Loss: 1.2647844552993774
Epoch: 90, Loss: 1.2810540199279785
Epoch: 91, Loss: 1.2779998779296875
Epoch: 92, Loss: 1.3363698720932007
Epoch: 93, Loss: 1.4400113821029663
Epoch: 94, Loss: 1.4416072368621826
Epoch: 95, Loss: 1.3470549583435059
Epoch: 96, Loss: 1.1374313831329346
Epoch: 97, Loss: 1.2359882593154907
Epoch: 98, Loss: 1.064345121383667
Epoch: 99, Loss: 1.1548200845718384
Epoch: 100, Loss: 1.2336289882659912
