Epoch: 1, Loss: 1680.43701171875, Eval Loss: 658.5791015625
Epoch: 2, Loss: 313.82373046875, Eval Loss: 163.93797302246094
Epoch: 3, Loss: 109.90113830566406, Eval Loss: 110.33480072021484
Epoch: 4, Loss: 67.1221923828125, Eval Loss: 86.41024780273438
Epoch: 5, Loss: 54.03812789916992, Eval Loss: 43.469810485839844
Epoch: 6, Loss: 36.92758560180664, Eval Loss: 31.63507080078125
Epoch: 7, Loss: 28.74782371520996, Eval Loss: 42.468685150146484
Epoch: 8, Loss: 26.150943756103516, Eval Loss: 30.822978973388672
Epoch: 9, Loss: 20.308317184448242, Eval Loss: 23.20901107788086
Epoch: 10, Loss: 20.12579917907715, Eval Loss: 23.114501953125
Epoch: 11, Loss: 15.477294921875, Eval Loss: 18.395532608032227
Epoch: 12, Loss: 12.077962875366211, Eval Loss: 19.67279624938965
Epoch: 13, Loss: 10.814659118652344, Eval Loss: 15.497258186340332
Epoch: 14, Loss: 8.505682945251465, Eval Loss: 18.04977035522461
Epoch: 15, Loss: 8.677371978759766, Eval Loss: 11.914812088012695
Epoch: 16, Loss: 6.586825847625732, Eval Loss: 12.146937370300293
Epoch: 17, Loss: 6.139739513397217, Eval Loss: 13.194442749023438
Epoch: 18, Loss: 5.743053913116455, Eval Loss: 13.029379844665527
Epoch: 19, Loss: 6.838345527648926, Eval Loss: 13.330114364624023
Epoch: 20, Loss: 6.583624839782715, Eval Loss: 13.399444580078125
Epoch: 21, Loss: 6.808657169342041, Eval Loss: 11.095808029174805
Epoch: 22, Loss: 4.6884074211120605, Eval Loss: 11.025585174560547
Epoch: 23, Loss: 4.689484119415283, Eval Loss: 12.18381118774414
Epoch: 24, Loss: 5.205264091491699, Eval Loss: 13.005523681640625
Epoch: 25, Loss: 4.400869846343994, Eval Loss: 10.251802444458008
Epoch: 26, Loss: 3.773850917816162, Eval Loss: 10.414414405822754
Epoch: 27, Loss: 3.972601890563965, Eval Loss: 11.249135971069336
Epoch: 28, Loss: 3.7979516983032227, Eval Loss: 10.286235809326172
Epoch: 29, Loss: 3.8434159755706787, Eval Loss: 10.446182250976562
Epoch: 30, Loss: 3.757791757583618, Eval Loss: 10.680381774902344
Epoch: 31, Loss: 3.934150457382202, Eval Loss: 12.467778205871582
Epoch: 32, Loss: 3.8171660900115967, Eval Loss: 10.299128532409668
Epoch: 33, Loss: 3.0212745666503906, Eval Loss: 10.770793914794922
Epoch: 34, Loss: 3.2458150386810303, Eval Loss: 9.73782730102539
Epoch: 35, Loss: 3.4451749324798584, Eval Loss: 10.955413818359375
Epoch: 36, Loss: 3.7909319400787354, Eval Loss: 12.513931274414062
Epoch: 37, Loss: 3.9549033641815186, Eval Loss: 11.983128547668457
Epoch: 38, Loss: 4.158627033233643, Eval Loss: 10.227991104125977
Epoch: 39, Loss: 3.1080713272094727, Eval Loss: 10.453166961669922
Epoch: 40, Loss: 3.3390395641326904, Eval Loss: 10.656524658203125
Epoch: 41, Loss: 3.122955322265625, Eval Loss: 10.235681533813477
Epoch: 42, Loss: 3.763730049133301, Eval Loss: 10.517646789550781
Epoch: 43, Loss: 2.9145801067352295, Eval Loss: 9.308514595031738
Epoch: 44, Loss: 2.112969398498535, Eval Loss: 10.017855644226074
Epoch: 45, Loss: 1.6852689981460571, Eval Loss: 8.935931205749512
Epoch: 46, Loss: 1.6666432619094849, Eval Loss: 8.90319538116455
Epoch: 47, Loss: 1.8582334518432617, Eval Loss: 9.778448104858398
Epoch: 48, Loss: 2.363636016845703, Eval Loss: 9.204594612121582
Epoch: 49, Loss: 2.6883182525634766, Eval Loss: 9.627033233642578
Epoch: 50, Loss: 3.4501092433929443, Eval Loss: 9.897722244262695
Epoch: 51, Loss: 2.738851547241211, Eval Loss: 9.615619659423828
Epoch: 52, Loss: 2.9774506092071533, Eval Loss: 10.23597526550293
Epoch: 53, Loss: 3.1008665561676025, Eval Loss: 10.1362943649292
Epoch: 54, Loss: 3.7157976627349854, Eval Loss: 11.384771347045898
Epoch: 55, Loss: 3.511233329772949, Eval Loss: 10.248703956604004
Epoch: 56, Loss: 2.3774259090423584, Eval Loss: 9.212454795837402
Epoch: 57, Loss: 1.969711184501648, Eval Loss: 8.577581405639648
Epoch: 58, Loss: 1.471848487854004, Eval Loss: 8.988164901733398
Epoch: 59, Loss: 1.4594731330871582, Eval Loss: 8.313131332397461
Epoch: 60, Loss: 1.3041616678237915, Eval Loss: 8.611490249633789
Epoch: 61, Loss: 1.7146363258361816, Eval Loss: 8.305105209350586
Epoch: 62, Loss: 1.420701265335083, Eval Loss: 8.133044242858887
Epoch: 63, Loss: 1.3652130365371704, Eval Loss: 9.21963882446289
Epoch: 64, Loss: 1.4641263484954834, Eval Loss: 8.650477409362793
Epoch: 65, Loss: 1.4548465013504028, Eval Loss: 8.1162748336792
Epoch: 66, Loss: 1.407525897026062, Eval Loss: 8.852386474609375
Epoch: 67, Loss: 1.3475228548049927, Eval Loss: 8.713184356689453
Epoch: 68, Loss: 1.31248140335083, Eval Loss: 8.811436653137207
Epoch: 69, Loss: 1.5458102226257324, Eval Loss: 8.933674812316895
Epoch: 70, Loss: 1.9977673292160034, Eval Loss: 8.66119384765625
Epoch: 71, Loss: 1.7993488311767578, Eval Loss: 9.829978942871094
Epoch: 72, Loss: 1.6788172721862793, Eval Loss: 8.991098403930664
Epoch: 73, Loss: 2.2001965045928955, Eval Loss: 9.84634780883789
Epoch: 74, Loss: 2.059164524078369, Eval Loss: 8.9540433883667
