Epoch: 1, Loss: 2706.294921875, Eval Loss: 2122.690673828125
Epoch: 2, Loss: 1709.33544921875, Eval Loss: 1334.4451904296875
Epoch: 3, Loss: 1090.07861328125, Eval Loss: 878.9946899414062
Epoch: 4, Loss: 736.41748046875, Eval Loss: 609.0067138671875
Epoch: 5, Loss: 527.8525390625, Eval Loss: 453.0549011230469
Epoch: 6, Loss: 391.9578857421875, Eval Loss: 340.4234924316406
Epoch: 7, Loss: 299.6582946777344, Eval Loss: 265.40374755859375
Epoch: 8, Loss: 232.64334106445312, Eval Loss: 209.72462463378906
Epoch: 9, Loss: 182.4316864013672, Eval Loss: 168.96128845214844
Epoch: 10, Loss: 145.86997985839844, Eval Loss: 132.07986450195312
Epoch: 11, Loss: 118.07410430908203, Eval Loss: 112.63018035888672
Epoch: 12, Loss: 101.58930206298828, Eval Loss: 97.48529815673828
Epoch: 13, Loss: 87.63995361328125, Eval Loss: 85.68500518798828
Epoch: 14, Loss: 75.97776794433594, Eval Loss: 75.28080749511719
Epoch: 15, Loss: 67.90443420410156, Eval Loss: 66.4293441772461
Epoch: 16, Loss: 59.097389221191406, Eval Loss: 61.46605682373047
Epoch: 17, Loss: 54.002464294433594, Eval Loss: 55.727569580078125
Epoch: 18, Loss: 49.342689514160156, Eval Loss: 51.634822845458984
Epoch: 19, Loss: 45.92705154418945, Eval Loss: 48.45890808105469
Epoch: 20, Loss: 41.73789978027344, Eval Loss: 44.29497528076172
Epoch: 21, Loss: 38.40190124511719, Eval Loss: 41.842041015625
Epoch: 22, Loss: 35.93913650512695, Eval Loss: 39.991004943847656
Epoch: 23, Loss: 33.500511169433594, Eval Loss: 38.74330520629883
Epoch: 24, Loss: 32.0556526184082, Eval Loss: 36.403587341308594
Epoch: 25, Loss: 30.018157958984375, Eval Loss: 35.10308837890625
Epoch: 26, Loss: 28.204334259033203, Eval Loss: 33.50412368774414
Epoch: 27, Loss: 27.17168617248535, Eval Loss: 31.99587631225586
Epoch: 28, Loss: 25.801118850708008, Eval Loss: 31.227962493896484
Epoch: 29, Loss: 24.82785415649414, Eval Loss: 30.283809661865234
Epoch: 30, Loss: 23.563804626464844, Eval Loss: 29.375288009643555
Epoch: 31, Loss: 22.60763168334961, Eval Loss: 28.723167419433594
Epoch: 32, Loss: 21.704145431518555, Eval Loss: 27.901657104492188
Epoch: 33, Loss: 20.984291076660156, Eval Loss: 27.157917022705078
Epoch: 34, Loss: 20.40672492980957, Eval Loss: 27.027450561523438
Epoch: 35, Loss: 19.733963012695312, Eval Loss: 26.12122917175293
Epoch: 36, Loss: 18.926454544067383, Eval Loss: 25.652034759521484
Epoch: 37, Loss: 18.51819610595703, Eval Loss: 25.12339973449707
Epoch: 38, Loss: 18.22651481628418, Eval Loss: 25.135194778442383
Epoch: 39, Loss: 17.61699104309082, Eval Loss: 24.431869506835938
Epoch: 40, Loss: 17.279338836669922, Eval Loss: 24.1661319732666
Epoch: 41, Loss: 16.73379135131836, Eval Loss: 23.613998413085938
Epoch: 42, Loss: 16.552764892578125, Eval Loss: 23.40380859375
Epoch: 43, Loss: 16.22293472290039, Eval Loss: 23.163799285888672
Epoch: 44, Loss: 15.90520191192627, Eval Loss: 23.056062698364258
Epoch: 45, Loss: 15.528888702392578, Eval Loss: 22.91147804260254
Epoch: 46, Loss: 15.176427841186523, Eval Loss: 22.606285095214844
Epoch: 47, Loss: 14.832090377807617, Eval Loss: 22.222129821777344
Epoch: 48, Loss: 14.656732559204102, Eval Loss: 22.107168197631836
Epoch: 49, Loss: 14.495848655700684, Eval Loss: 22.1308650970459
Epoch: 50, Loss: 14.258155822753906, Eval Loss: 21.789823532104492
