Epoch: 1, Loss: 459.8729553222656, Eval Loss: -1
Epoch: 2, Loss: 84.27957916259766, Eval Loss: -1
Epoch: 3, Loss: 52.458736419677734, Eval Loss: -1
Epoch: 4, Loss: 37.65042495727539, Eval Loss: -1
Epoch: 5, Loss: 32.70759963989258, Eval Loss: -1
Epoch: 6, Loss: 29.590373992919922, Eval Loss: -1
Epoch: 7, Loss: 25.12727165222168, Eval Loss: -1
Epoch: 8, Loss: 22.464929580688477, Eval Loss: -1
Epoch: 9, Loss: 20.991424560546875, Eval Loss: -1
Epoch: 10, Loss: 19.509796142578125, Eval Loss: -1
Epoch: 11, Loss: 16.26124382019043, Eval Loss: -1
Epoch: 12, Loss: 17.386781692504883, Eval Loss: -1
Epoch: 13, Loss: 15.059733390808105, Eval Loss: -1
Epoch: 14, Loss: 13.607006072998047, Eval Loss: -1
Epoch: 15, Loss: 13.502991676330566, Eval Loss: -1
Epoch: 16, Loss: 14.28747844696045, Eval Loss: -1
Epoch: 17, Loss: 11.529725074768066, Eval Loss: -1
Epoch: 18, Loss: 12.689114570617676, Eval Loss: -1
Epoch: 19, Loss: 10.776147842407227, Eval Loss: -1
Epoch: 20, Loss: 10.315691947937012, Eval Loss: -1
Epoch: 21, Loss: 9.049418449401855, Eval Loss: -1
Epoch: 22, Loss: 7.929358005523682, Eval Loss: -1
Epoch: 23, Loss: 7.727846145629883, Eval Loss: -1
Epoch: 24, Loss: 7.357961177825928, Eval Loss: -1
Epoch: 25, Loss: 6.481817245483398, Eval Loss: -1
Epoch: 26, Loss: 7.204198837280273, Eval Loss: -1
Epoch: 27, Loss: 7.120030403137207, Eval Loss: -1
Epoch: 28, Loss: 6.47127103805542, Eval Loss: -1
Epoch: 29, Loss: 6.703597068786621, Eval Loss: -1
Epoch: 30, Loss: 6.7018303871154785, Eval Loss: -1
Epoch: 31, Loss: 5.930746078491211, Eval Loss: -1
Epoch: 32, Loss: 5.62843132019043, Eval Loss: -1
Epoch: 33, Loss: 6.622280597686768, Eval Loss: -1
Epoch: 34, Loss: 6.3123931884765625, Eval Loss: -1
Epoch: 35, Loss: 5.860118865966797, Eval Loss: -1
Epoch: 36, Loss: 6.390635013580322, Eval Loss: -1
Epoch: 37, Loss: 6.038252830505371, Eval Loss: -1
Epoch: 38, Loss: 5.493436336517334, Eval Loss: -1
Epoch: 39, Loss: 5.723966121673584, Eval Loss: -1
Epoch: 40, Loss: 5.660268306732178, Eval Loss: -1
Epoch: 41, Loss: 6.226409435272217, Eval Loss: -1
Epoch: 42, Loss: 4.743655204772949, Eval Loss: -1
Epoch: 43, Loss: 4.282142162322998, Eval Loss: -1
