Epoch: 1, Loss: 937.8363647460938, Eval Loss: 746.2202758789062
Epoch: 2, Loss: 217.02207946777344, Eval Loss: 178.38267517089844
Epoch: 3, Loss: 137.31253051757812, Eval Loss: 198.8237762451172
Epoch: 4, Loss: 91.92298889160156, Eval Loss: 113.58839416503906
Epoch: 5, Loss: 77.75271606445312, Eval Loss: 92.38361358642578
Epoch: 6, Loss: 78.02112579345703, Eval Loss: 88.33074188232422
Epoch: 7, Loss: 70.32264709472656, Eval Loss: 84.82567596435547
Epoch: 8, Loss: 61.64448547363281, Eval Loss: 86.90544128417969
Epoch: 9, Loss: 52.53940963745117, Eval Loss: 36.78937530517578
Epoch: 10, Loss: 45.163658142089844, Eval Loss: 33.94676208496094
Epoch: 11, Loss: 41.428245544433594, Eval Loss: 37.94607162475586
Epoch: 12, Loss: 40.16511917114258, Eval Loss: 49.29621887207031
Epoch: 13, Loss: 34.20042419433594, Eval Loss: 50.023712158203125
Epoch: 14, Loss: 34.53976821899414, Eval Loss: 42.63120651245117
Epoch: 15, Loss: 42.81597900390625, Eval Loss: 42.57477951049805
Epoch: 16, Loss: 34.56318664550781, Eval Loss: 23.993276596069336
Epoch: 17, Loss: 31.609281539916992, Eval Loss: 36.816062927246094
Epoch: 18, Loss: 29.535417556762695, Eval Loss: 59.37815475463867
Epoch: 19, Loss: 28.748178482055664, Eval Loss: 37.603397369384766
Epoch: 20, Loss: 28.622634887695312, Eval Loss: 30.960296630859375
Epoch: 21, Loss: 25.132436752319336, Eval Loss: 54.878536224365234
Epoch: 22, Loss: 24.688316345214844, Eval Loss: 20.60264015197754
Epoch: 23, Loss: 20.461172103881836, Eval Loss: 29.70246124267578
Epoch: 24, Loss: 20.68568229675293, Eval Loss: 17.29422378540039
Epoch: 25, Loss: 19.253068923950195, Eval Loss: 19.446809768676758
Epoch: 26, Loss: 18.440338134765625, Eval Loss: 23.335084915161133
Epoch: 27, Loss: 15.493423461914062, Eval Loss: 24.116899490356445
Epoch: 28, Loss: 14.253544807434082, Eval Loss: 17.039690017700195
Epoch: 29, Loss: 14.553908348083496, Eval Loss: 23.14236068725586
Epoch: 30, Loss: 15.86709213256836, Eval Loss: 27.228116989135742
Epoch: 31, Loss: 10.78950023651123, Eval Loss: 11.080302238464355
Epoch: 32, Loss: 7.987015247344971, Eval Loss: 10.732563972473145
Epoch: 33, Loss: 7.670058727264404, Eval Loss: 10.474126815795898
Epoch: 34, Loss: 7.981950759887695, Eval Loss: 10.798050880432129
Epoch: 35, Loss: 6.807567596435547, Eval Loss: 10.554352760314941
Epoch: 36, Loss: 6.206706523895264, Eval Loss: 10.53905963897705
Epoch: 37, Loss: 6.962473392486572, Eval Loss: 11.255820274353027
Epoch: 38, Loss: 6.866818904876709, Eval Loss: 11.180087089538574
Epoch: 39, Loss: 6.948953628540039, Eval Loss: 10.447333335876465
Epoch: 40, Loss: 6.36600399017334, Eval Loss: 11.63921070098877
Epoch: 41, Loss: 7.00830602645874, Eval Loss: 10.728181838989258
Epoch: 42, Loss: 6.387606620788574, Eval Loss: 10.49194049835205
Epoch: 43, Loss: 5.8188629150390625, Eval Loss: 10.7422456741333
Epoch: 44, Loss: 6.066771984100342, Eval Loss: 10.982361793518066
Epoch: 45, Loss: 6.5668816566467285, Eval Loss: 11.09432601928711
Epoch: 46, Loss: 5.885550498962402, Eval Loss: 10.895695686340332
Epoch: 47, Loss: 6.155492305755615, Eval Loss: 11.604716300964355
Epoch: 48, Loss: 5.09919548034668, Eval Loss: 11.942398071289062
Epoch: 49, Loss: 5.853918075561523, Eval Loss: 11.033473014831543
Epoch: 50, Loss: 5.460320949554443, Eval Loss: 11.45390796661377
Epoch: 51, Loss: 5.458852291107178, Eval Loss: 11.647258758544922
Epoch: 52, Loss: 5.144990921020508, Eval Loss: 12.309091567993164
Epoch: 53, Loss: 4.893088340759277, Eval Loss: 10.469053268432617
Epoch: 54, Loss: 4.904392719268799, Eval Loss: 10.579816818237305
Epoch: 55, Loss: 5.054934024810791, Eval Loss: 11.730226516723633
Epoch: 56, Loss: 4.856475830078125, Eval Loss: 10.340615272521973
Epoch: 57, Loss: 6.015932083129883, Eval Loss: 12.265419960021973
Epoch: 58, Loss: 4.668224811553955, Eval Loss: 11.103730201721191
Epoch: 59, Loss: 5.106150150299072, Eval Loss: 12.563156127929688
Epoch: 60, Loss: 4.087928295135498, Eval Loss: 11.105626106262207
Epoch: 61, Loss: 4.394039630889893, Eval Loss: 11.519621849060059
Epoch: 62, Loss: 4.483127593994141, Eval Loss: 11.265545845031738
Epoch: 63, Loss: 4.746618747711182, Eval Loss: 11.05189037322998
Epoch: 64, Loss: 4.457571506500244, Eval Loss: 11.1962890625
Epoch: 65, Loss: 4.259697437286377, Eval Loss: 15.039190292358398
Epoch: 66, Loss: 4.508544445037842, Eval Loss: 11.276482582092285
Epoch: 67, Loss: 4.715747356414795, Eval Loss: 11.389298439025879
Epoch: 68, Loss: 4.2817606925964355, Eval Loss: 10.676069259643555
Epoch: 69, Loss: 4.076851844787598, Eval Loss: 10.785482406616211
Epoch: 70, Loss: 3.91353440284729, Eval Loss: 11.096961975097656
Epoch: 71, Loss: 3.9555132389068604, Eval Loss: 12.020936012268066
Epoch: 72, Loss: 4.087062358856201, Eval Loss: 11.026067733764648
Epoch: 73, Loss: 4.210996150970459, Eval Loss: 11.496052742004395
Epoch: 74, Loss: 3.8411340713500977, Eval Loss: 11.47348403930664
Epoch: 75, Loss: 3.9921085834503174, Eval Loss: 11.52115249633789
