Epoch: 1, Loss: 101.8462142944336, Eval Loss: 0.3265781104564667
Epoch: 2, Loss: 0.10958867520093918, Eval Loss: 0.10681919008493423
Epoch: 3, Loss: 0.016008591279387474, Eval Loss: 0.13731808960437775
Epoch: 4, Loss: 0.007408608682453632, Eval Loss: 0.11087392270565033
Epoch: 5, Loss: 0.0035806007217615843, Eval Loss: 0.08537404984235764
Epoch: 6, Loss: 0.001637131324969232, Eval Loss: 0.11867321282625198
Epoch: 7, Loss: 0.00284789502620697, Eval Loss: 0.13252095878124237
Epoch: 8, Loss: 0.004071556963026524, Eval Loss: 0.07641948759555817
Epoch: 9, Loss: 0.418742835521698, Eval Loss: 0.09724340587854385
Epoch: 10, Loss: 0.02671039290726185, Eval Loss: 0.023807384073734283
Epoch: 11, Loss: 0.0052259755320847034, Eval Loss: 0.024311913177371025
Epoch: 12, Loss: 0.003728328039869666, Eval Loss: 0.032996416091918945
Epoch: 13, Loss: 0.004041091538965702, Eval Loss: 0.05109256133437157
Epoch: 14, Loss: 0.004528827965259552, Eval Loss: 0.03140554949641228
Epoch: 15, Loss: 0.006976354401558638, Eval Loss: 0.04364350810647011
Epoch: 16, Loss: 0.10937999933958054, Eval Loss: 0.00890378374606371
Epoch: 17, Loss: 0.0034916962031275034, Eval Loss: 0.010199819691479206
Epoch: 18, Loss: 0.002958068158477545, Eval Loss: 0.01148818526417017
Epoch: 19, Loss: 0.0036597608122974634, Eval Loss: 0.008592061698436737
Epoch: 20, Loss: 0.0064634894952178, Eval Loss: 0.026050452142953873
Epoch: 21, Loss: 0.0013174249324947596, Eval Loss: 0.007200225722044706
Epoch: 22, Loss: 0.0010425497312098742, Eval Loss: 0.00564518291503191
Epoch: 23, Loss: 0.0017932034097611904, Eval Loss: 0.0014250980457291007
Epoch: 24, Loss: 0.001536583760753274, Eval Loss: 0.0025676449295133352
Epoch: 25, Loss: 0.004113221075385809, Eval Loss: 0.005464928224682808
Epoch: 26, Loss: 0.004896431230008602, Eval Loss: 0.005964610725641251
Epoch: 27, Loss: 0.005232291296124458, Eval Loss: 0.02008179761469364
Epoch: 28, Loss: 0.000894426426384598, Eval Loss: 0.008879006840288639
Epoch: 29, Loss: 0.0006078530568629503, Eval Loss: 0.012760307639837265
Epoch: 30, Loss: 0.0026932519394904375, Eval Loss: 0.0031785122118890285
